市区町村,総人口（男）比率,総人口（日本人）比率,15歳未満人口比率,15以上65歳未満人口比率,65歳以上人口比率,15歳未満人口（男）比率,15歳以上65歳未満人口（男）比率,65歳以上人口（男）比率,未婚者割合（15歳以上人口）,外国人人口比率,出生率,死亡率,転入超過率,従業も通学もしていない人口比率,流出従業・通学者割合（総人口比）,流入従業・通学者割合（総人口比）,昼夜間人口比率,一般世帯人員数（一般世帯当たり）,核家族世帯割合,単独世帯割合,65歳以上の世帯員のいる世帯数割合,65歳以上世帯員の単独世帯割合,65歳以上世帯員（男）の単独世帯割合,母子世帯割合（世帯比）,父子世帯割合（世帯比）,母子世帯割合（親族のみ世帯比）,父子世帯割合（親族のみ世帯比）,総面積における可住地面積比率,総面積における道路面積比率,耕地面積割合,納税対象者割合,卸売業年間商品販売額の割合,小売業年間商品販売額の割合,売上金額（民営）の農林漁業の割合,売上金額（民営）の鉱業の割合,売上金額（民営）の建築業の割合,売上金額（民営）の製造業の割合,売上金額（民営）の電気・ガス・熱供給・水道業の割合,売上金額（民営）の情報通信料の割合,売上金額（民営）の運輸業、郵便行の割合,売上金額（民営）の卸売業、小売業の割合,売上金額（民営）の金融業、保険業の割合,売上金額（民営）の不動産業、物品賃貸業の割合,売上金額（民営）の学術研究、専門・技術サービス業の割合,売上金額（民営）の宿泊行、飲食サービス業の割合,売上金額（民営）の生活関連サービス業、娯楽業の割合,売上金額（民営）の教育、学習支援業の割合,売上金額（民営）の医療、福祉の割合,売上金額（民営）の複合サービス業の割合,売上金額（民営）のサービス業の割合,一人当たりの労働生産性（農業漁業）,一人当たりの労働生産性（鉱業）,一人当たりの労働生産性（建設業）,一人当たりの労働生産性（製造業）,一人当たりの労働生産性（電気・ガス・熱供給・水道業）,一人当たりの労働生産性（情報通信業）,一人当たりの労働生産性（運輸業、郵便業）,一人当たりの労働生産性（卸売業、小売業）,一人当たりの労働生産性（金融業、保険業）,一人当たりの労働生産性（不動産業、物品賃貸業）,一人当たりの労働生産性（学術研究、専門・技術サービス業）,一人当たりの労働生産性（宿泊業、飲食サービス業）,一人当たりの労働生産性（生活関連サービス業、娯楽業）,一人当たりの労働生産性（教育、学習支援業）,一人当たりの労働生産性（医療、福祉）,一人当たりの労働生産性（複合サービス業）,一人当たりの労働生産性（サービス業）,財政力指数,実質収支比率,経常収支比率,将来負担比率,実質公債費比率,一般財源割合（歳入比）,自主財源割合（歳入比）,地方債割合（歳入比）,投資的経費割合（歳出比）,民生費割合（歳出比）,衛生費割合（歳出比）,労働費割合（歳出比）,農林水産業費割合（歳出比）,商工費割合（歳出比）,土木費割合（歳出比）,教育費割合（歳出比）,災害復旧費割合（歳出比）,公債費割合（歳出比）,地方債現在高（歳入比）,地方債現在高（歳出比）,幼稚園在園者数（幼稚園数当たり）,小学校児童数（小学校数当たり）,小学高児童数（小学校教員当たり）,小学校数密度,中学校生徒数（中学校教員当たり）,中学校生徒数（中学校当たり）,中学校数密度,義務教育学校生徒数（学校数当たり）,義務教育学校生徒数（教員当たり）,義務教育学校数密度,高等学校生徒数（高等学校数当たり）,最終学歴人口割合（小・中学校）,最終学歴人口割合（高等学校）,最終学歴人口割合（高専・短大・大学・大学院）,労働力人口割合（総人口比）,労働力人口割合（男）（総人口比）,就業者数比率（労働力人口比）,就業者数比率（男）（労働力人口比）,就業者数比率（男20歳以上45歳未満）（就業者数比）,就業者数比率（兼家事・副業）（就業者数比）,就業者数比率（兼学業）（就業者数比）,完全失業率,完全失業率（男）,非就業者数比率（家事）（非就業者数比）,非就業者数比率（学業）（非就業者数比）,雇用者数比率（正規）,雇用者数比（男）（正規）,雇用者数比（女）（正規）,雇用者男女差（正規）,雇用者数比率（派遣）,雇用者数比率（パート・アルバイト）,都市計画区域指定面積割合,公民館数密度,図書館数密度,持ち家一般世帯比率,市街化調整区域面積割合,市街化区域面積割合,用途地域面積割合,住居専用面積割合,住居地域面積割合,近隣商業地域面積割合,商業地域面積割合,準工業地域面積割合,工業地域面積割合,工業専用地域面積割合,商業・近隣商業地域面積割合,工業・準工業地域面積割合,非水洗化人口比率,水洗化率,ゴミ計画収集人口比率,1人1日当たりの排出量,リサイクル率,中間処理後再生利用率,ゴミ処理直後資源化率,最終処分比率,二輪車台数密度,自市区町村内通勤・通学者比率,県内他市区町村への通勤・通学者比率,他県への通勤・通学者比率,平均寿命（男）,平均寿命（女）,病院数密度,一般診療所数密度,医療施設数密度,歯科診療所数密度,病院病床数（病院数当たり）,病院病床数（10万人当たり）,一般診療所病床数（一般診療所数当たり）,一般診療所病床数（10万人当たり）,医療施設病床数（医療施設数当たり）,医療施設病床数（10万人当たり）,医師数（医療施設数当たり）,医師数（10万人当たり）,歯科医師数（歯科診療所数当たり）,歯科医師数（10万人当たり）,薬剤師数（医療施設数当たり）,薬剤師数（10万人当たり）,養護施設密度,介護老人福祉施設密度,老人ホーム（養護、有料ロー人ホーム）数密度,児童福祉施設数密度,保健所数密度,障害者支援施設等数密度,福祉・社会保障施設密度,子ども向け施設数割合（児童福祉、母子・父子福祉、婦人保護施設）,高齢者向け施設数割合（介護老人福祉施設、老人ホーム）,国民健康保険被保険者割合,子供施設数（10万人当たり）,高齢者用施設数（65歳以上）,第1次産業の売上割合,第2次産業の売上割合,第3次産業の売上割合,第1次産業の事業所割合,第2次産業の事業所割合,第3次産業の事業所割合,1人当たりの労働生産性（第1次産業）,1人当たりの労働生産性（第2次産業）,1人当たりの労働生産性（第3次産業）,人口一人当たりの市内総生産,合計特殊出生率
札幌市,0.244202149,0.465150975,0.482130532,0.743339607,0.320595916,0.480336604,0.154183043,0.154183043,0.752068619,0.368028809,0.558102453,0.327452223,0.771320491,0.363847437,0.340012034,0.345830439,0.582591703,0.231476557,0.368507326,0.802147234,0.296384761,0.255254891,0.221370919,0.549371278,0.391850295,0.666362703,0.462431102,0.439103845,0.652023255,0.305097121,0.604305805,0.843468836,0.240255177,0.351732813,0,0.448086426,0.258396354,0.86065448,0.897514068,0.477378315,0.77380448,0.832811367,0.935755051,0.918803691,0.428211106,0.472736032,0.547761106,0.957031748,0.378866961,0.693949831,0.508692177,0,0.763501109,0.520567809,0.904265972,0.869399817,0.442251059,0.754536494,0.722307998,0.723205962,0.65588634,0.49352122,0.548842991,0.670302096,0.920888064,0.587128494,0.654305277,0.659969328,0.292434836,0.739419527,0.563415701,0.24411275,0.302778166,0.60193678,0.593373241,0.338728909,0.794791077,0.325522992,0.510641671,0.266992936,0.975645277,0.605406508,0.712717336,0.434044166,0.452475522,0.593373241,0.577908861,0.801942126,0.7500909,0.789172672,0.91609069,0.731511338,0.705288361,0.89044325,0.753476117,0.77680371,0.908004815,0.79011087,0.272355579,0.233977556,0.74775797,0.307044639,0.244849576,0.302150964,0.231682077,0.191532866,0.468996199,0.810320959,0.698746992,0.581324942,0.68886474,0.586627587,0.394589307,0.414170028,0.586471106,0.414170028,0.627520276,0.571208837,0.619698655,0.322161859,0.475999763,0.095903805,0.717669831,0.909466232,0.891073094,0.91378617,0.819409106,0.934626542,0.934683565,0.92713836,0.532586493,0.532586493,0.934127412,0.759370275,0.317846184,0.249673584,1,0.447491803,0.639636682,0.683737965,0.331495081,0.524665736,0.901226783,0.424839517,0.619474944,0.3388152,0.491619715,0.461219524,0.940906931,0.90618006,0.900308699,0.9055779,0.605422123,0.674196746,0.57805738,0.569977044,0.638010917,0.6809195,0.844857739,0.879144926,0.709985446,0.885152596,0.71876311,0.780779446,0,0.83656608,0.921465012,0.91048711,0.910801094,0.98234589,0.911879312,0.538295881,0.593811118,0.287575141,0.400540929,0.546214608,0.351732813,0.209388751,0.821819315,0.307518617,0.255239652,0.784945336,0.508692177,0.614006417,0.832330103,0.677261983,0.164860706
函館市,0.093914207,0.593208582,0.355574126,0.521694338,0.520493504,0.432911604,0.188888339,0.188888339,0.584761771,0.313032009,0.419794426,0.533530534,0.500688374,0.543874498,0.350337705,0.354359035,0.640553084,0.229892761,0.37351607,0.756648639,0.520452925,0.46348707,0.340833137,0.755375887,0.38526814,0.87294306,0.441606643,0.302507221,0.393627363,0.314120834,0.485984474,0.664737724,0.399198784,0.367286953,0,0.495636619,0.226687045,0.869469016,0.897514068,0.535516887,0.691108214,1,0.757107096,0.546460545,0.69214027,0.656990971,0.700934712,0.59541147,0.470056432,0.579456431,0.566073652,0,0.575094944,0.080506336,0.904265972,0.634855337,0.442851808,0.513563178,0.808633467,0.668694676,0.539065713,0.589340245,0.57453239,0.681950883,0.789906332,0.537557274,0.478097708,0.483260567,0.322694708,0.619096881,0.57936062,0.448591361,0.393596262,0.451712665,0.560208941,0.316901864,0.855681282,0.354604164,0.564533269,0.303889976,0.835597758,0.441744469,0.454578859,0.364884621,0.49900097,0.560208941,0.546305468,0.605105003,0.487470727,0.587002564,0.776755936,0.610485988,0.473921599,0.784297146,0.490075317,0.601070789,0.688204763,0.551133614,0.43545736,0.516923419,0.422872503,0.316728402,0.255463725,0.26007405,0.219113126,0.301970056,0.45607611,0.567291149,0.740878291,0.638686476,0.581456018,0.43322871,0.425693454,0.416568784,0.584071991,0.416568784,0.368333079,0.616081248,0.582170259,0.330970744,0.355085023,0.216369853,0.737053069,0.804548822,0.716490513,0.804031565,0.661719535,0.934626542,0.934683565,0.92713836,0.809505613,0.809505613,0.934127412,0.926458494,0.481280197,0.265172868,1,0.794907956,0.403117676,0.418036183,0.331495081,0.878988093,0.558333042,0.808601244,0.19223681,0.350078469,0.009303165,0.087447559,0.940906931,0.818322114,0.828950581,0.782914318,0.690544399,0.790071133,0.564001499,0.591616638,0.744420885,0.800268564,0.784177117,0.821296258,0.555820975,0.600542226,0.670520761,0.732435517,0,0.760074435,0.921465012,0.751975588,0.723673983,0.742366242,0.849728085,0.418742303,0.700693248,0.39370729,0.426118571,0.626950023,0.367286953,0.189210969,0.839984664,0.33363507,0.292109067,0.744309699,0.566073652,0.221805442,0.627691873,0.497477869,0.256173328
小樽市,0.049639756,0.586390197,0.260861708,0.390400479,0.650097316,0.457156349,0.189177246,0.189177246,0.604014827,0.33582099,0.305273309,0.621214532,0.484298383,0.782237754,0.337167586,0.34667989,0.647240936,0.256040219,0.483118838,0.68754803,0.68780091,0.599601789,0.443847689,0.775463264,0.482823696,0.846243609,0.530115808,0.398011879,0.449517204,0.280686069,0.432426831,0.639744893,0.421425996,0.360903526,0,0.36539157,0.425083152,0.869469016,0.547875813,0.71570868,0.612499853,0.570707392,0.649510652,0.498832756,0.508793317,0.791588343,0.640986706,0.569074053,0.417089757,0.85163093,0.490468539,0,0.484679319,0.449138356,0.904265972,0.650662473,0.554569537,0.443422118,0.52146022,0.620323565,0.505998722,0.358426347,0.690888139,0.802751276,0.574241177,0.525083637,0.719585437,0.469667586,0.211741845,0.732734936,0.519695761,0.470115425,0.446220888,0.405898084,0.445976086,0.276569594,0.794563977,0.576919295,0.573651898,0.27898217,0.73645898,0.55551902,0.252087198,0.359606239,0.461113613,0.445976086,0.427094219,0.493609849,0.503347131,0.524871568,0.55369761,0.524172665,0.41874898,0.679911135,0.47331971,0.527756933,0.563325449,0.552939581,0.466344083,0.662952241,0.480957544,0.184090935,0.129222595,0.048245038,0.105563775,0.243440146,0.518606887,0.692092352,0.952981095,0.833769305,0.465542989,0.334971775,0.289636903,0.360442571,0.640206608,0.360442571,0.390337978,0.748311525,0.735399672,0.318719684,0.379700864,0.370024885,0.931392028,0.909466232,0.857645538,0.893244569,0.888695676,0.808538946,0.741823533,0.92713836,0.915454914,0.915454914,0.77441917,0.946675846,0.348060133,0.255064639,1,0.717704367,0.439196847,0.497706848,0.331495081,0.76039884,0.569277185,0.728752812,0.30423801,0.336414202,0.298693095,0.155406098,0.859561573,0.612228159,0.693898091,0.761375835,0.622633641,0.818426631,0.774757757,0.768464902,0.743026401,0.845318007,0.695267151,0.778271798,0.510337056,0.769219164,0.679864768,0.792598323,0,0.463620117,0.640192167,0.56602682,0.576993873,0.738178231,0.589753125,0.473414791,0.517975063,0.391369686,0.380752785,0.387837749,0.360903526,0.36627805,0.662429464,0.317741274,0.317087533,0.726690375,0.490468539,0.420918925,0.55245832,0.513537968,0.195298246
旭川市,0.197353926,0.582497119,0.450792727,0.532996043,0.485717356,0.501551802,0.180212771,0.180212771,0.490797324,0.298447512,0.515539851,0.482930227,0.607073635,0.615240617,0.335546959,0.340583657,0.595967406,0.261588505,0.496686953,0.694991367,0.48301424,0.414316102,0.328869592,0.795420598,0.492098098,0.87567991,0.544630155,0.490740437,0.540359764,0.56108599,0.473115455,0.746527334,0.326464834,0.390704841,0,0.478692228,0.305913476,0.869469016,0.897514068,0.580087369,0.842638299,0.964592797,0.706673195,0.587838541,0.446859193,0.645541645,0.542992619,0.543437471,0.449692837,0.604953014,0.591638516,0,0.541204618,0.080506336,0.851966043,0.663890976,0.46211183,0.579243033,0.630393377,0.563863962,0.549770909,0.45043796,0.495174738,0.788965718,0.54196553,0.599180667,0.457612409,0.524039512,0.322694708,0.665889021,0.783558455,0.54544965,0.332449123,0.420335851,0.597437559,0.33736492,0.866581188,0.348986565,0.49144558,0.324491094,0.567106054,0.581391511,0.377118912,0.359628376,0.563303528,0.597437559,0.582736693,0.585344444,0.54955957,0.535997224,0.463547774,0.614054564,0.556568544,0.458596915,0.562592518,0.568758738,0.505737782,0.698606406,0.455514326,0.597441633,0.452674825,0.352074169,0.298577202,0.327913079,0.276208965,0.322751137,0.478504514,0.557132545,0.67295158,0.581633221,0.542075234,0.403213138,0.41909426,0.475892128,0.524739765,0.475892128,0.382712421,0.618561225,0.49493998,0.42605657,0.389376848,0.232001536,0.662263842,0.625740612,0.561534681,0.65551972,0.530224452,0.528300665,0.650312003,0.675338087,0.563352933,0.563352933,0.571811612,0.607445706,0.358351734,0.269890041,1,0.566605913,0.529394772,0.474393144,0.44829502,0.817356589,0.498261112,0.849523134,0.175825777,0.334109116,0.371040578,0.291323176,0.64299115,0.503157707,0.529408097,0.540836788,0.598024901,0.719320692,0.65874466,0.637748181,0.720239851,0.732877258,0.990308208,0.973870746,0.553114838,0.616399119,0.703119422,0.71900091,0,0.445493288,0.921465012,0.488486114,0.489067882,0.480526614,0.665600521,0.177448176,1,0.354698755,0.398760608,0.954717698,0.390704841,0.270808813,0.754485201,0.35610485,0.307621759,0.723824542,0.591638516,0.216457376,0.570562928,0.478528264,0.367777644
室蘭市,0.563543138,0.631106444,0.359463849,0.484278471,0.551682439,0.360363527,0.753337621,0.753337621,0.623638179,0.328073278,0.441715905,0.523637791,0.384564351,0.708905346,0.338989415,0.364224736,0.794373673,0.186133083,0.324913328,0.845135982,0.52760365,0.398997214,0.322738281,0.556841504,0.412613002,0.684773897,0.493180217,0.533119741,0.706205896,0.31317415,0.476452263,0.661529188,0.402057102,0.347565094,0,0.404510197,0.226687045,0.869469016,0.897514068,0.716472667,0.399710443,0.569090485,0.545295903,0.948276711,0.85775466,0.416528704,0.590137414,0.413698972,0.38250475,0.969625767,0.213867651,0,0.589840114,0.727663566,0.379746136,0.778814199,0.565714928,0.473491099,0.519602508,0.578707859,0.620368498,0.500051454,0.491427721,0.692477937,0.724890618,0.548083503,0.665396201,0.585207929,0.363041203,0.72939264,0.610736106,0.615402859,0.368560596,0.482716011,0.644710393,0.552097586,0.727019203,0.540576383,0.550326251,0.289122386,0.551388082,0.798054506,0.542983021,0.359606239,0.55389136,0.644710393,0.631582272,0.612218804,0.611810679,0.617762993,0.580235779,0.58242761,0.462527489,0.736828353,0.55557757,0.609821785,0.637101456,0.567248839,0.554456029,0.597126517,0.417068396,0.26879754,0.402387743,0.31884514,0.728690038,0.84097896,0.436261544,0.828103731,0.682031239,0.70894975,0.512957663,0.479310087,0.486396018,0.772149679,0.228437854,0.772149679,0.370155009,0.553646377,0.727685741,0.318719684,0.439046734,0.209706505,0.782525905,0.909466232,0.945304604,0.91378617,0.96101789,0.934626542,0.934683565,0.92713836,0.915454914,0.915454914,0.934127412,0.946675846,0.358975826,0.272585569,1,0.807039949,0.549438756,0.531492829,0.345869396,0.426552989,0.562564891,0.803583565,0.226245666,0.337603085,0.15399813,0.121426828,0.785934732,0.672678263,0.715443381,0.737766145,0.824024505,0.815858224,0.424209232,0.414985726,0.841428172,0.810071524,0.846714862,0.780597858,0.535254333,0.572439377,0.685138656,0.660062677,0,0.559841395,0.568190408,0.544907973,0.542291204,0.493314686,0.546600101,0.524318415,0.547294412,0.295148305,0.288936673,0.333500677,0.347565094,0.160983911,0.871182314,0.297863966,0.37067619,0.684693702,0.213867651,0.694543584,0.610187282,0.686184345,0.459090267
釧路市,0.295587137,0.579354869,0.412906837,0.561296024,0.485788394,0.465091118,0.334095993,0.334095993,0.534196921,0.335318112,0.454136184,0.472028295,0.420298429,0.528494423,0.337167391,0.350380212,0.595967406,0.23488095,0.403899073,0.750387685,0.472975415,0.407047059,0.344445763,0.715016856,0.449065873,0.82031792,0.512235668,0.331882444,0.35630528,0.390765373,0.508083101,0.743814841,0.328878547,0.398795605,0,0.45947495,0.380236805,0.869469016,0.871484485,0.712525289,0.689986144,0.959613954,0.680199564,0.549233416,0.484082476,0.627212051,0.53140209,0.49321794,0.396442375,0.740129911,0.530653864,0,0.661230342,0.551062371,0.840348561,0.74626048,0.503513323,0.725602232,0.801805814,0.580919231,0.578486889,0.462141577,0.376854526,0.637228466,0.710749303,0.598505727,0.568413772,0.462871095,0.242001717,0.685942796,0.704862564,0.696118101,0.423362158,0.375312752,0.68764478,0.372457194,0.764403687,0.422591276,0.547046103,0.337423671,0.641830185,0.539234307,0.462289247,0.3663361,0.721571263,0.68764478,0.666069063,0.560149731,0.529319252,0.530711367,0.370932931,0.561701277,0.489605532,0.402263645,0.522926803,0.546191159,0.407051538,0.600822224,0.479900407,0.465499496,0.312384387,0.218969028,0.222047044,0.427716193,0.408600251,0.380929471,0.418221683,0.595842249,0.573019469,0.496335832,0.564379213,0.411855785,0.417081729,0.565129889,0.435488642,0.565129889,0.344106682,0.632021115,0.460104953,0.323602058,0.400332627,0.209462909,0.628185907,0.564470824,0.507999312,0.57706792,0.416709114,0.528317405,0.495636107,0.488081976,0.862475248,0.862475248,0.506561217,0.597047715,0.404271511,0.251021348,1,0.748585803,0.48329361,0.571447142,0.331495081,0.593267992,0.386153496,0.834675188,0.186079767,0.336164526,0.178113958,0.053468289,0.484728936,0.385677633,0.412919457,0.445380619,0.645149877,0.717086303,0.662373835,0.551175834,0.804109762,0.722619068,0.736217887,0.636157258,0.469925002,0.542218115,0.721012524,0.638280412,0,0.366161415,0.559437256,0.411356096,0.367909775,0.406639599,0.415935455,0.471202763,0.745398124,0.342997461,0.417625489,0.631266575,0.398795605,0.35015624,0.673391529,0.355700162,0.258179283,0.76810278,0.530653864,0.568809722,0.684356703,0.561618582,0.296756716
帯広市,0.406589192,0.690148583,0.526735061,0.674876504,0.369725904,0.482770868,0.348504349,0.348504349,0.588903038,0.321213834,0.584396128,0.359579962,0.674936305,0.298790577,0.333915951,0.344175583,0.67845091,0.24701293,0.405727034,0.767586295,0.354803119,0.308458312,0.262468975,0.655038969,0.436638437,0.763473108,0.503026009,0.58680386,0.501700877,0.856872522,0.648446061,0.733948104,0.337651489,0.423448433,0,0.531575623,0.30080272,0.869469016,0.897514068,0.469889454,0.83845319,0.91767576,0.695018792,0.780320924,0.510114291,0.690753185,0.539577344,0.526410562,0.371660196,0.652702311,0.561263814,0,0.648087721,0.524230451,0.808778459,0.758416664,0.542294319,0.702682848,0.509651594,0.615157082,0.601552888,0.48349326,0.486962062,0.646399663,0.633917085,0.693628998,0.526164166,0.571614947,0.332781331,0.535539488,0.703319507,0.572354731,0.331929393,0.559704688,0.544354569,0.31986553,0.724161328,0.285540783,0.521233641,0.463439619,0.845642633,0.560115763,0.418292027,0.359606239,0.533746285,0.544354569,0.53072857,0.732788615,0.582031783,0.561291003,0.342687371,0.59863428,0.54065519,0.354801418,0.578715628,0.580834858,0.389190755,0.673749674,0.359928091,0.407029768,0.457578625,0.372530177,0.33953786,0.53031386,0.403267541,0.395543071,0.441464976,0.506685734,0.470289193,0.40022448,0.655790033,0.484579679,0.446839014,0.550864516,0.449756151,0.550864516,0.560062069,0.537864963,0.340446083,0.318719684,0.324188419,0.169046661,0.450862105,0.499069511,0.451352991,0.51790359,0.434586644,0.441757023,0.506352941,0.410882529,0.440333623,0.440333623,0.460427076,0.409127272,0.347140869,0.26247734,1,0.535724477,0.609570707,0.567129526,0.335173816,0.660290665,0.391677095,0.736781941,0.257200232,0.332458577,0.467503888,0.359281715,0.462333144,0.396392059,0.413550437,0.43459456,0.606347507,0.696545619,0.576851091,0.557086152,0.677134801,0.702362553,0.816132095,0.819829232,0.586349583,0.718844426,0.660561122,0.69333254,0,0.320777545,0.454743761,0.36175868,0.359415847,0.448532883,0.371256817,0.382848556,0.616507302,0.350697224,0.325836962,0.517934639,0.423448433,0.281786326,0.738855091,0.39472038,0.283580684,0.733902082,0.561263814,0.555071617,0.622205408,0.613305829,0.367777644
北見市,0.35254288,0.648079988,0.439954223,0.556482234,0.473378198,0.51025917,0.398244947,0.398244947,0.438190906,0.30281075,0.460800863,0.444520992,0.530718585,0.397108475,0.334963369,0.345408514,0.580362419,0.268042077,0.462101073,0.697662222,0.437490418,0.354150088,0.283603244,0.630162398,0.460534708,0.69883025,0.509307797,0.378052759,0.38067234,0.531725595,0.571998399,0.644922589,0.416821493,0.484830092,0,0.533127231,0.293565008,0.869469016,0.897514068,0.514152079,0.77964439,0.912048621,0.670725142,0.614190231,0.475323624,0.531752539,0.690518209,0.537628384,0.514850777,0.601399426,0.614880144,0,0.635206004,0.620221813,0.851217409,0.562716816,0.577927817,0.689784559,0.490629012,0.561017965,0.622307073,0.482397298,0.460873538,0.7319608,0.760188224,0.649177406,0.481321488,0.462871095,0.211741845,0.699311978,1,0.583116763,0.353456451,0.414101696,0.925490932,0.669635604,0.576141891,0.385116485,0.97266363,0.495405949,0.439932902,0.649501199,0.403835238,0.359607496,0.634662039,0.925490932,0.897503306,0.587743941,0.485712963,0.490367801,0.322483911,0.510391027,0.452493977,0.339303631,0.480624275,0.50189701,0.355348647,0.508508037,0.467859773,0.364354907,0.401573655,0.278241713,0.265718028,0.512237487,0.411869663,0.450733389,0.451064307,0.532400335,0.48838893,0.427926576,0.438244671,0.457619357,0.395268273,0.511846528,0.488779981,0.511846528,0.426602821,0.629886475,0.371322996,0.347152863,0.415295016,0.26570054,0.507601704,0.463059041,0.429330342,0.450841449,0.437366581,0.419881139,0.443413239,0.461071174,0.555322295,0.555322295,0.421069906,0.47761639,0.365807005,0.269216159,1,0.620648426,0.479284814,0.517744406,0.50341367,0.709998347,0.369997907,0.840830775,0.171995208,0.333825003,0.44338806,0.359281715,0.422428202,0.354177232,0.362982784,0.375477219,0.494463693,0.593095503,0.837351911,0.714522229,0.663824866,0.612134464,0.661375262,0.586920103,0.558845481,0.538907817,0.624981074,0.569041992,0,0.337718047,0.466609787,0.368517523,0.346810563,0.366535033,0.368296334,0.478725348,0.704559522,0.440721482,0.506858687,0.723573386,0.484830092,0.274740295,0.737394352,0.565815876,0.284889361,0.682247616,0.614880144,0.602433342,0.641756433,0.57714128,0.388069338
夕張市,0.185720225,0.587379282,0.042998296,0.116874667,0.930211695,0.098323454,0.590362468,0.590362468,0.389492068,0.489942899,0.218783944,0.95271904,0.022676692,0.984732363,0.330992862,0.349308617,0.68959733,0.11941941,0.248859411,0.875018454,0.901136901,0.714477248,0.579664842,0.305284236,0.215310909,0.400493741,0.256036573,0.279278421,0.282714188,0.28386737,0.434207732,0.196569134,0.057747101,0.392251294,0,0.663213897,0.44645546,0.380450692,0.368756511,0.437103174,0.519931205,0.517206777,0.337607582,0.499315073,0.58751947,0.567689271,0.347584978,0.70475595,0.936112941,0.830050998,0.498953229,0,0.404135619,0.484765423,0.379746136,0.349783478,0.469130365,0.271612905,0.544470849,0.407806248,0.556995132,0.166983251,0.568866119,0.524546779,0.316286975,0.470561956,0.154432046,0.299755316,0.438690882,1,1,1,0.658433708,0.396097934,0.990361418,0.386463065,0.522521241,0.395537833,0.336380745,0.302345968,0.250976861,0.524081927,0.108970372,0.359606239,0.99473413,0.990361418,0.984004557,0.370942379,0.437959795,0.370340846,0.256492055,0.307017521,0.330922003,0.283403846,0.387080065,0.340697602,0.297646276,0.323501017,0.934669166,0.686634344,0.275090211,0.323165352,0.345448119,0.040344772,0.275106793,0.625765549,0.24699227,0.311010003,0.95740481,0.949814145,0.207920886,0.116241651,0.228183874,0.620422602,0.380187649,0.620422602,0.364167064,0.818706608,0.486654947,0.318719684,0.359857706,0.040002683,0.377707796,0.37623085,0.433197306,0.352589086,0.534175487,0.416215501,0.562809757,0.576471035,0.54976809,0.54976809,0.469300017,0.544213888,0.971021493,0.47946731,1,0.866597004,0.226730621,0.221282772,0.542959489,1,0.318595131,0.820255006,0.221488855,0.329659529,0.274577268,0.223364637,0.329174569,0.325528521,0.325333445,0.33745822,0.265998427,0.285491917,0.872894333,0.9332139,0.312412265,0.321507837,0.357040229,0.384018744,0.697216634,0.783059351,0.58740355,0.625639936,0,0.290589538,0.353002872,0.310126538,0.30910635,0.455428585,0.312095065,0.227879665,0.384409138,0.729068314,0.476681413,0.404886653,0.392251294,0.481951375,0.541483164,0.395719849,0.221645103,0.788924027,0.498953229,0.437916904,0.260953549,0.309495957,0.276465022
岩見沢市,0.274377895,0.707256712,0.399111756,0.511352447,0.541838824,0.359631891,0.334352009,0.334352009,0.497965483,0.280267588,0.393400448,0.473579731,0.473273439,0.634419624,0.335240531,0.33940216,0.531318174,0.346837386,0.558440512,0.590827897,0.566379483,0.522391466,0.411167692,0.585035683,0.456193455,0.6045107,0.475612976,0.615254426,0.487980395,0.920629711,0.471544561,0.515479375,0.531934782,0.460775015,0,0.476183165,0.388564893,0.869469016,0.712129289,0.686196623,0.658133688,0.813530969,0.832343264,0.709945393,0.412594673,0.566980287,0.496534164,0.52669606,0.882912936,0.576019514,0.583561121,0,0.487437872,0.080506336,0.379746136,0.687523146,0.353457291,0.685409655,0.510826929,0.586912778,0.582534252,0.440434505,0.665811617,0.73067977,0.523662393,0.559578441,0.460311759,0.415295659,0.206698534,0.762815597,0.705891268,0.556211683,0.441920103,0.361478616,0.743109387,0.455132887,0.533362903,0.396735002,0.440569193,0.472295876,0.755235253,0.896584469,0.381068772,0.359606239,0.58022982,0.743109387,0.718365084,0.736117509,0.512450094,0.51287362,0.307695207,0.509387291,0.455963462,0.333349022,0.498073615,0.514976806,0.345183229,0.637020896,0.589139046,0.51751439,0.470237446,0.287323305,0.284492717,0.314815061,0.365128636,0.415996932,0.52725777,0.585005072,0.686066527,0.654943344,0.479150418,0.414589436,0.365617967,0.546460074,0.454161253,0.546460074,0.483119086,0.64341973,0.383683631,0.318719684,0.344827286,0.383897491,0.377707796,0.37623085,0.440060745,0.507625636,0.385145372,0.426944035,0.40395848,0.473083824,0.705353959,0.705353959,0.408556579,0.535253004,0.39514158,0.305605782,1,0.516975034,0.497324399,0.489909415,0.331495081,0.606428408,0.361052932,0.67775685,0.35907373,0.334162405,0.25046144,0.359281715,0.40034828,0.36449975,0.373701098,0.390832931,0.642005841,0.705687968,0.76231791,0.762993385,0.675604627,0.730637807,0.585758837,0.627369174,0.520144148,0.693373758,0.482840005,0.538039545,0,0.312435959,0.389166913,0.359551241,0.339649582,0.415929022,0.34798714,0.569991941,0.459206056,0.393932119,0.483216832,0.418981938,0.460775015,0.360578178,0.654243456,0.622630577,0.279569041,0.670234905,0.583561121,0.185212586,0.538602648,0.390030927,0.235881634
